FITPROB_Ibc,FITPROB_II,FITPROB_Ia,SNRMAX1,SNRMAX2,SHAPEPAR_Ia,COLORPAR_Ia,CHI2_Ibc,CHI2_Ia,CHI2_II,TOBSMIN_Ibc,DMU_Ia,TOBSMIN_II,Z_Ia,ITYPE_BEST,CLASS
2.69934e-10,8.39259e-11,3.58153e-05,19.11535,11.35007,2.5,-1.0,70.39697,41.81234,73.09868,49.22,-0.5,49.22,0.97893,0,KN
0.85234,0.75151,0.95487,16.07568,9.37282,-3.0,-0.4,2.64123,1.56773,3.44319,7.255,1.5,5.255,0.17111,0,CC
0.0685242,0.0472615,0.00645842,10.49876,3.89374,-3.0,0.7,15.9222,24.46451,17.09417,44.276,-0.5,13.276,0.20463,2,KN
0.91749,0.98008,0.99097,53.83661,14.09765,2.5,0.4,3.25299,1.59751,2.03006,5.289,-0.5,-15.711,0.20463,0,Ia
0.0437935,0.0280082,0.17822,17.5811,11.88693,-3.0,-0.8,17.3299,12.66777,18.68504,49.203,1.5,49.203,0.0654191,0,KN
0.82146,0.71977,0.58679,6.40185,5.97902,-3.0,-1.0,3.62822,6.54163,4.50789,-17.701,0.9,48.299,1.30917,-9,KN
0.00136178,1.71253e-15,0.0341696,13.43347,6.96836,-2.65625,-1.0,21.71819,13.62092,81.54543,45.286,-0.5,16.286,1.36904,0,KN
0.0320863,3.08842e-08,0.0496361,9.0216,6.74407,-3.0,-1.0,15.32201,15.52922,48.31596,46.299,0.7,4.299,1.30917,-9,KN
0.14171,0.29486,0.27821,26.13133,17.32772,2.5,1.0,10.92987,8.65722,8.44669,43.241,1.1,-12.759,0.0978374,0,KN
0.64596,0.57652,0.7905,20.44231,18.35022,2.5,0.1,5.11474,3.90638,5.68881,28.255,1.3,10.255,0.14963,0,Ia
0.97719,0.99859,0.99997,345.94794,152.79163,0.09375,-0.4,2.11761,0.34069,0.94116,-6.723,-0.3,39.277,0.10005,0,CC
1.09298e-34,2.53006e-35,1.72331e-14,22.84609,9.51147,-3.0,-1.0,176.45237,79.52289,179.46249,51.241,0.1,51.241,0.0914895,-9,KN
1.77982e-26,7.24512e-18,3.70426e-10,18.75257,8.85768,-3.0,-0.3,134.07579,55.48217,92.98948,42.275,1.5,51.275,0.04,-9,KN
0.87149,0.81226,0.94046,28.12141,19.59238,2.5,-0.5,2.47286,1.75925,2.97273,-12.753,1.3,42.247,0.15301,0,Ia
0.98734,0.9825,0.77563,52.09483,35.61656,1.46875,-1.0,1.76687,4.82955,1.49458,-5.703,-0.5,15.297,1.22423,2,CC
0.93205,0.90106,0.99412,8.54711,8.16583,2.5,0.1,1.8608,0.7169,2.19358,-19.703,0.1,-15.703,0.19568,0,KN
0.49199,0.26331,0.97191,39.55394,37.55665,2.5,0.5,5.41332,1.29543,7.66972,-14.779,-0.1,-14.779,0.14632,0,CC
9.04849e-23,4.82333e-22,1.64361e-08,49.12043,38.65703,-3.0,-1.0,119.65291,49.71423,116.16043,50.221,0.1,50.221,0.0547036,0,KN
0.00524033,0.00207166,0.0174634,8.06983,4.60478,-3.0,-0.3,20.15702,16.9896,22.51249,-3.701,1.1,-4.701,0.26169,0,KN
0.000276007,0.00248143,0.00403765,18.21635,9.54507,-3.0,0.0,25.49834,20.82521,20.26755,50.22,1.1,50.22,0.0782336,-9,KN
5.58776e-10,5.88147e-12,1.84671e-09,10.26184,8.64082,-3.0,-1.0,57.14735,54.5307,67.02636,4.297,-0.1,50.297,1.09473,-9,KN
2.76067e-12,3.34785e-12,0.000874762,14.32212,12.21883,2.5,-1.0,63.11128,20.82325,62.70691,49.241,-0.5,49.241,1.30917,-9,KN
0.53655,0.39697,0.0482525,19.57585,11.8742,-3.0,0.5,4.08984,12.68882,5.15742,2.275,1.5,16.275,0.0782336,-9,KN
0.96557,0.95733,0.95433,19.03009,6.46836,2.5,0.3,2.41509,2.65079,2.04459,-18.723,1.5,-18.723,0.14963,0,CC
0.99962,0.14579,1.0,16.81095,16.6701,0.4375,1.0,0.27165,0.0156733,9.53214,-17.703,0.3,49.297,0.07154,0,KN
0.95401,0.0671869,0.99301,21.36783,15.64157,0.4375,1.0,2.10142,0.76366,13.20856,29.286,1.5,7.286,0.0731577,0,CC
0.97876,0.97104,0.97736,13.32349,5.53078,1.125,0.3,2.07096,2.11281,2.28405,-8.779,0.1,-1.779,0.43767,0,CC
0.84365,0.82809,0.83467,9.72064,6.36258,2.5,0.3,4.1467,4.24189,4.31035,19.221,-0.5,11.221,0.54734,0,CC
0.58235,0.23645,0.76415,7.39732,4.08563,-3.0,0.1,3.77425,2.58165,6.79354,3.221,-0.3,14.221,0.20011,0,KN
0.50851,0.0457617,0.76635,9.80588,8.31682,-1.28125,1.0,6.27078,4.11576,14.32076,-17.711,1.1,48.289,0.0611746,0,KN
0.48516,0.59646,0.70678,25.55934,25.03527,-3.0,-0.7,6.47807,3.77734,5.52259,-16.745,1.5,-16.745,0.15301,0,CC
0.00131988,0.000604312,0.15043,22.33372,12.70952,-3.0,-0.7,23.63599,10.73867,25.55645,49.289,1.5,49.289,0.0731577,0,KN
0.00248825,0.00062058,0.00991444,7.10821,3.85664,-3.0,-1.0,20.26087,16.83365,23.59215,1.242,1.1,9.242,0.27366,0,KN
0.93221,0.91197,0.99469,74.18731,65.11576,-0.9375,0.1,3.03388,1.36789,3.33008,8.241,0.7,2.241,0.0836618,0,Ia
0.0104136,0.000903265,0.0394436,8.81986,3.03637,-3.0,1.0,16.70919,13.23559,22.70046,49.255,1.5,-20.745,0.0731577,0,KN
0.49573,0.49469,0.553,11.63112,10.08522,2.5,0.6,10.3895,9.75003,10.40135,5.276,0.9,-3.724,0.14308,0,Ia
